Frequency_MHz,dB,Timestamp
300.0,-90.0,2025-03-22 19:20:11
300.001001001001,-90.0,2025-03-22 19:20:11
300.00200200200203,-90.0,2025-03-22 19:20:11
300.003003003003,-90.0,2025-03-22 19:20:11
300.004004004004,-90.0,2025-03-22 19:20:11
300.005005005005,-90.0,2025-03-22 19:20:11
300.00600600600603,-90.0,2025-03-22 19:20:11
300.007007007007,-90.0,2025-03-22 19:20:11
300.008008008008,-90.0,2025-03-22 19:20:11
300.009009009009,-90.0,2025-03-22 19:20:11
300.01001001001003,-90.0,2025-03-22 19:20:11
300.011011011011,-90.0,2025-03-22 19:20:11
300.012012012012,-90.0,2025-03-22 19:20:11
300.013013013013,-90.0,2025-03-22 19:20:11
300.01401401401404,-90.0,2025-03-22 19:20:11
300.015015015015,-90.0,2025-03-22 19:20:11
300.016016016016,-90.0,2025-03-22 19:20:11
300.017017017017,-90.0,2025-03-22 19:20:11
300.01801801801804,-90.0,2025-03-22 19:20:11
300.019019019019,-90.0,2025-03-22 19:20:11
300.02002002002,-90.0,2025-03-22 19:20:11
300.021021021021,-90.0,2025-03-22 19:20:11
300.02202202202204,-90.0,2025-03-22 19:20:11
300.02302302302303,-90.0,2025-03-22 19:20:11
300.024024024024,-90.0,2025-03-22 19:20:11
300.025025025025,-90.0,2025-03-22 19:20:11
300.02602602602605,-90.0,2025-03-22 19:20:11
300.02702702702703,-90.0,2025-03-22 19:20:11
300.028028028028,-90.0,2025-03-22 19:20:11
300.029029029029,-90.0,2025-03-22 19:20:11
300.03003003003005,-90.0,2025-03-22 19:20:11
300.03103103103103,-90.0,2025-03-22 19:20:11
300.032032032032,-90.0,2025-03-22 19:20:11
300.033033033033,-90.0,2025-03-22 19:20:11
300.03403403403405,-90.0,2025-03-22 19:20:11
300.03503503503504,-90.0,2025-03-22 19:20:11
300.036036036036,-90.0,2025-03-22 19:20:11
300.037037037037,-90.0,2025-03-22 19:20:11
300.03803803803805,-90.0,2025-03-22 19:20:11
300.03903903903904,-90.0,2025-03-22 19:20:11
300.04004004004,-90.0,2025-03-22 19:20:11
300.04104104104107,-90.0,2025-03-22 19:20:11
300.04204204204206,-90.0,2025-03-22 19:20:11
300.04304304304304,-90.0,2025-03-22 19:20:11
300.044044044044,-90.0,2025-03-22 19:20:11
300.0450450450451,-90.0,2025-03-22 19:20:11
300.04604604604606,-90.0,2025-03-22 19:20:11
300.04704704704704,-90.0,2025-03-22 19:20:11
300.04804804804803,-90.0,2025-03-22 19:20:11
300.0490490490491,-90.0,2025-03-22 19:20:11
300.05005005005006,-90.0,2025-03-22 19:20:11
300.05105105105105,-90.0,2025-03-22 19:20:11
300.05205205205203,-90.0,2025-03-22 19:20:11
300.0530530530531,-90.0,2025-03-22 19:20:11
300.05405405405406,-90.0,2025-03-22 19:20:11
300.05505505505505,-90.0,2025-03-22 19:20:11
300.05605605605604,-90.0,2025-03-22 19:20:11
300.0570570570571,-90.0,2025-03-22 19:20:11
300.05805805805807,-90.0,2025-03-22 19:20:11
300.05905905905905,-90.0,2025-03-22 19:20:11
300.06006006006004,-90.0,2025-03-22 19:20:11
300.0610610610611,-90.0,2025-03-22 19:20:11
300.06206206206207,-90.0,2025-03-22 19:20:11
300.06306306306305,-90.0,2025-03-22 19:20:11
300.06406406406404,-90.0,2025-03-22 19:20:11
300.0650650650651,-90.0,2025-03-22 19:20:11
300.06606606606607,-90.0,2025-03-22 19:20:11
300.06706706706706,-90.0,2025-03-22 19:20:11
300.06806806806804,-90.0,2025-03-22 19:20:11
300.0690690690691,-90.0,2025-03-22 19:20:11
300.0700700700701,-90.0,2025-03-22 19:20:11
300.07107107107106,-90.0,2025-03-22 19:20:11
300.07207207207205,-90.0,2025-03-22 19:20:11
300.0730730730731,-90.0,2025-03-22 19:20:11
300.0740740740741,-90.0,2025-03-22 19:20:11
300.07507507507506,-90.0,2025-03-22 19:20:11
300.07607607607605,-90.0,2025-03-22 19:20:11
300.0770770770771,-90.0,2025-03-22 19:20:11
300.0780780780781,-90.0,2025-03-22 19:20:11
300.07907907907907,-90.0,2025-03-22 19:20:11
300.0800800800801,-90.0,2025-03-22 19:20:11
300.0810810810811,-90.0,2025-03-22 19:20:11
300.0820820820821,-90.0,2025-03-22 19:20:11
300.08308308308307,-90.0,2025-03-22 19:20:11
300.0840840840841,-90.0,2025-03-22 19:20:11
300.0850850850851,-90.0,2025-03-22 19:20:11
300.0860860860861,-90.0,2025-03-22 19:20:11
300.08708708708707,-90.0,2025-03-22 19:20:11
300.0880880880881,-90.0,2025-03-22 19:20:11
300.0890890890891,-90.0,2025-03-22 19:20:11
300.0900900900901,-90.0,2025-03-22 19:20:11
300.0910910910911,-90.0,2025-03-22 19:20:11
300.0920920920921,-90.0,2025-03-22 19:20:11
300.0930930930931,-90.0,2025-03-22 19:20:11
300.0940940940941,-90.0,2025-03-22 19:20:11
300.0950950950951,-90.0,2025-03-22 19:20:11
300.0960960960961,-90.0,2025-03-22 19:20:11
300.0970970970971,-90.0,2025-03-22 19:20:11
300.0980980980981,-90.0,2025-03-22 19:20:11
300.0990990990991,-90.0,2025-03-22 19:20:11
300.1001001001001,-40.0,2025-03-22 19:20:11
300.1011011011011,-40.0,2025-03-22 19:20:11
300.1021021021021,-40.0,2025-03-22 19:20:11
300.1031031031031,-40.0,2025-03-22 19:20:11
300.1041041041041,-40.0,2025-03-22 19:20:11
300.1051051051051,-40.0,2025-03-22 19:20:11
300.1061061061061,-40.0,2025-03-22 19:20:11
300.1071071071071,-40.0,2025-03-22 19:20:11
300.1081081081081,-40.0,2025-03-22 19:20:11
300.1091091091091,-40.0,2025-03-22 19:20:11
